unique_location,anticipation,disgust,joy,none,trust
-35.261339899999996_149.1323899,0,0,3.0,0,0
-35.2668_149.137,0,0,1.0,1.0,0
-35.2669451_149.1313002,1.0,0,7.0,2.0,1.0
-35.26725_149.13144,0,0,3.0,2.0,0
-35.26732_149.131529,1.0,0,0,0,0
-35.271200350662_149.13296699524,0,0,5.0,1.0,0
-35.271305462453_149.13146495818998,2.0,1.0,5.0,3.0,0
-35.271643048994_149.13319300068997,1.0,0,3.0,0,0
-35.271728499999995_149.133255,3.0,0,4.0,0,0
-35.27173_149.13326,0,0,3.0,1.0,0
-35.27187_149.13323,1.0,1.0,23.0,2.0,0
-35.271944444443996_149.13555555556002,2.0,0,11.0,18.0,0
-35.27196_149.13277,0,0,1.0,0,0
-35.2719994_149.13320919999998,0,0,3.0,0,0
-35.2722015_149.134079,0,0,1.0,0,0
-35.27223_149.13272,0,0,2.0,0,0
-35.272420077011_149.13174659014,0,0,1.0,0,0
-35.2725_149.13268,0,0,0,1.0,0
-35.27265_149.1331,1.0,0,10.0,2.0,0
-35.272713_149.138014,0,0,1.0,0,0
-35.27277_149.13263999999998,0,1.0,3.0,1.0,0
-35.27295_149.13171,1.0,0,0,0,0
-35.272_149.13067,0,0,1.0,0,0
-35.272_149.13321000000002,0,0,7.0,3.0,1.0
-35.273017889502_149.13170099258002,0,0,2.0,0,0
-35.27302_149.1326,1.0,1.0,10.0,6.0,0
-35.273126180059_149.13294338007,1.0,0,8.0,0,0
-35.273127378491004_149.13300991058,0,0,5.0,0,0
-35.27317555722_149.13305099352,2.0,1.0,41.0,11.0,0
-35.273275852268_149.13196789897,0,0,2.0,4.0,0
-35.273310228826_149.13189892852,0,0,1.0,3.0,0
-35.27337379863_149.13277587084,0,0,0,1.0,0
-35.27366_149.13295,1.0,1.0,26.0,8.0,0
-35.273759999999996_149.13156999999998,0,0,1.0,1.0,0
-35.273901_149.13218799999999,0,0,3.0,0,0
-35.27391_149.1329,0,0,0,3.0,0
-35.27418_149.13031999999998,0,0,0,2.0,0
-35.274190000000004_149.13286000000002,0,0,0,1.0,0
-35.274411209365_149.13721229357,0,0,1.0,0,0
-35.274658_149.13003999999998,0,0,2.0,0,0
-35.2746799_149.13233,5.0,0,31.0,5.0,0
-35.274854362044_149.13255546211,0,0,1.0,0,0
-35.274859899999996_149.13021,0,0,3.0,1.0,0
-35.27493_149.13085,0,0,3.0,0,0
-35.2749499_149.13228999999998,0,0,3.0,1.0,0
-35.27498_149.13243,0,0,2.0,1.0,0
-35.27499_149.13138,0,1.0,11.0,1.0,0
-35.27499_149.13273,1.0,0,2.0,1.0,0
-35.275219_149.13223269999997,1.0,0,6.0,5.0,0
-35.275220000000004_149.13224,5.0,0,13.0,6.0,0
-35.2755_149.13263999999998,1.0,0,4.0,2.0,0
-35.27562807_149.1306764,0,0,1.0,0,0
-35.275909464496_149.142669873,7.0,0,20.0,17.0,0
-35.275951388416_149.13157897941002,0,2.0,1.0,4.0,0
-35.275999999999996_149.13235,0,0,6.0,3.0,0
-35.276167389823_149.14215836788,2.0,0,20.0,10.0,1.0
-35.27647_149.1398,0,0,1.0,0,0
-35.277685893302_149.13760779123,0,0,1.0,0,0
-35.277735131366_149.13757681443002,0,0,4.0,0,0
-35.27813_149.13772,0,0,0,1.0,0
-35.27855_149.13703999999998,0,0,1.0,0,0
