unique_location,anticipation,disgust,joy,none,trust
-35.261339899999996_149.1323899,0,0,5.0,0,0
-35.2669451_149.1313002,0,0,3.0,0,0
-35.26725_149.13144,1.0,0,2.0,1.0,0
-35.270857773142_149.13289571815,0,0,1.0,0,0
-35.271200350662_149.13296699524,0,0,3.0,0,0
-35.271305462453_149.13146495818998,3.0,1.0,8.0,3.0,0
-35.271643048994_149.13319300068997,1.0,0,5.0,0,1.0
-35.271728499999995_149.133255,1.0,0,1.0,0,0
-35.27173_149.13326,0,0,1.0,0,0
-35.27187_149.13323,2.0,0,19.0,4.0,0
-35.271944444443996_149.13555555556002,3.0,1.0,18.0,10.0,0
-35.27196_149.13277,1.0,0,0,3.0,0
-35.2719994_149.13320919999998,0,0,3.0,1.0,0
-35.2722015_149.134079,0,0,1.0,0,0
-35.27223_149.13272,2.0,0,4.0,11.0,0
-35.272420077011_149.13174659014,0,0,1.0,1.0,0
-35.2725_149.13268,2.0,0,1.0,0,0
-35.27265_149.1331,0,0,7.0,0,0
-35.272713_149.138014,0,0,1.0,0,0
-35.27277_149.13263999999998,0,0,8.0,2.0,0
-35.27295_149.13171,0,0,4.0,0,0
-35.272_149.13067,0,0,2.0,0,0
-35.272_149.13321000000002,6.0,0,13.0,8.0,0
-35.273017889502_149.13170099258002,0,0,2.0,0,0
-35.27302_149.1326,1.0,1.0,15.0,3.0,0
-35.273126180059_149.13294338007,1.0,0,1.0,0,0
-35.273127378491004_149.13300991058,0,0,4.0,1.0,0
-35.27317555722_149.13305099352,2.0,0,23.0,6.0,5.0
-35.273275852268_149.13196789897,0,0,8.0,4.0,0
-35.273310228826_149.13189892852,0,0,3.0,0,0
-35.27357_149.13612,0,0,1.0,0,0
-35.27366_149.13295,1.0,2.0,32.0,6.0,0
-35.273759999999996_149.13156999999998,0,0,0,1.0,0
-35.273901_149.13218799999999,0,0,2.0,0,0
-35.27418_149.13031999999998,0,0,2.0,0,0
-35.274190000000004_149.13286000000002,0,0,1.0,0,0
-35.2742386_149.1309662,1.0,0,2.0,0,0
-35.274409999999996_149.13237,2.0,0,1.0,1.0,0
-35.274411209365_149.13721229357,1.0,0,2.0,0,0
-35.2744799_149.13677990000002,0,0,0,1.0,0
-35.274637_149.131427,0,0,1.0,0,0
-35.2746799_149.13233,0,0,25.0,10.0,1.0
-35.27472_149.13278,0,0,5.0,0,0
-35.274859899999996_149.13021,0,0,7.0,1.0,0
-35.27493_149.13085,1.0,0,10.0,1.0,0
-35.2749499_149.13228999999998,0,0,5.0,0,0
-35.27498_149.13243,0,0,2.0,0,0
-35.27499_149.13138,0,0,5.0,3.0,0
-35.27499_149.13273,0,0,2.0,1.0,0
-35.275219_149.13223269999997,0,0,6.0,3.0,0
-35.275220000000004_149.13224,3.0,0,14.0,5.0,0
-35.275490000000005_149.1322,0,0,2.0,0,0
-35.2755_149.13263999999998,4.0,0,0,1.0,0
-35.275909464496_149.142669873,0,0,4.0,1.0,0
-35.275951388416_149.13157897941002,0,0,3.0,0,0
-35.275999999999996_149.13235,0,0,10.0,1.0,0
-35.275_149.13299999999998,0,0,1.0,0,0
-35.277735131366_149.13757681443002,0,0,3.0,0,0
-35.278006252246_149.13774030839,0,0,1.0,0,0
-35.27855_149.13703999999998,0,0,2.0,0,0
