unique_location,anticipation,disgust,joy,none,trust
-35.261339899999996_149.1323899,1.0,0,7.0,0,0
-35.264557700000005_149.1316814,0,0,1.0,1.0,0
-35.26725_149.13144,1.0,0,6.0,1.0,0
-35.270539989597_149.13092766351002,0,0,2.0,0,0
-35.270857773142_149.13289571815,0,0,1.0,1.0,0
-35.271200350662_149.13296699524,1.0,0,5.0,1.0,0
-35.271305462453_149.13146495818998,0,0,3.0,3.0,0
-35.27159_149.13417990000002,0,0,1.0,0,0
-35.271643048994_149.13319300068997,1.0,0,2.0,2.0,0
-35.271728499999995_149.133255,1.0,0,1.0,0,0
-35.27173_149.13326,0,0,1.0,0,0
-35.27187_149.13323,1.0,0,17.0,1.0,0
-35.271944444443996_149.13555555556002,3.0,0,30.0,3.0,1.0
-35.27196_149.13277,2.0,0,8.0,0,0
-35.2719994_149.13320919999998,0,0,5.0,0,0
-35.27204124117_149.13320302963,1.0,0,2.0,1.0,0
-35.27223_149.13272,3.0,0,11.0,5.0,0
-35.272420077011_149.13174659014,0,0,1.0,2.0,0
-35.2725_149.13268,0,0,1.0,0,0
-35.27265_149.1331,0,0,6.0,1.0,0
-35.27277_149.13263999999998,1.0,0,4.0,4.0,0
-35.272872_149.13278300000002,0,0,3.0,0,0
-35.27295_149.13171,0,0,10.0,0,0
-35.272_149.13067,0,0,1.0,0,0
-35.272_149.13321000000002,1.0,1.0,26.0,10.0,0
-35.27302_149.1326,0,1.0,10.0,5.0,0
-35.273126180059_149.13294338007,0,0,3.0,1.0,0
-35.273127378491004_149.13300991058,0,0,5.0,2.0,0
-35.27317555722_149.13305099352,4.0,0,9.0,9.0,0
-35.273275852268_149.13196789897,0,0,7.0,2.0,0
-35.27366_149.13295,4.0,0,34.0,14.0,1.0
-35.273901_149.13218799999999,0,0,3.0,0,0
-35.27418_149.13272,0,0,1.0,0,0
-35.274190000000004_149.13286000000002,0,0,1.0,0,0
-35.2742386_149.1309662,1.0,0,0,0,0
-35.274409999999996_149.13237,0,0,1.0,0,0
-35.274411209365_149.13721229357,1.0,0,4.0,0,0
-35.2746799_149.13233,3.0,0,24.0,2.0,0
-35.27472_149.13278,0,0,3.0,1.0,0
-35.274854362044_149.13255546211,0,0,9.0,0,0
-35.274859899999996_149.13021,0,0,4.0,1.0,0
-35.27493_149.13085,0,0,3.0,2.0,0
-35.2749499_149.13228999999998,0,0,6.0,0,0
-35.27495_149.13228999999998,1.0,0,0,0,0
-35.27498_149.13243,0,0,3.0,1.0,0
-35.27499_149.13138,1.0,1.0,12.0,3.0,0
-35.27499_149.13273,1.0,0,0,0,0
-35.275219_149.13223269999997,3.0,0,12.0,2.0,0
-35.275220000000004_149.13224,1.0,0,17.0,1.0,0
-35.275787885556_149.14313348987,0,0,2.0,0,0
-35.275909464496_149.142669873,1.0,0,2.0,1.0,0
-35.275909999999996_149.13348,0,0,1.0,0,0
-35.275951388416_149.13157897941002,0,0,1.0,1.0,0
-35.275999999999996_149.13235,0,0,1.0,1.0,0
-35.275_149.13299999999998,0,0,1.0,0,0
-35.277735131366_149.13757681443002,0,0,1.0,0,0
-35.278006252246_149.13774030839,2.0,0,2.0,1.0,0
-35.2781296_149.13772580000003,0,0,3.0,0,0
-35.27813_149.13772,0,0,0,1.0,0
-35.27855_149.13703999999998,0,0,1.0,0,0
