unique_location,anticipation,disgust,joy,none,trust
-35.261339899999996_149.1323899,0,0,4.0,0,0
-35.264557700000005_149.1316814,0,0,2.0,0,0
-35.266365060847995_149.13155078888,1.0,0,0,0,0
-35.2669451_149.1313002,1.0,0,4.0,0,0
-35.26725_149.13144,1.0,0,4.0,3.0,0
-35.267807399999995_149.13631709999999,0,0,1.0,0,0
-35.271200350662_149.13296699524,0,0,3.0,0,0
-35.271305462453_149.13146495818998,2.0,2.0,3.0,1.0,0
-35.271643048994_149.13319300068997,0,0,1.0,2.0,0
-35.271728499999995_149.133255,1.0,0,4.0,2.0,0
-35.27173_149.13326,0,0,1.0,0,0
-35.27187_149.13323,1.0,0,16.0,1.0,1.0
-35.271944444443996_149.13555555556002,6.0,0,24.0,8.0,0
-35.27196_149.13277,0,0,0,4.0,0
-35.2719994_149.13320919999998,0,0,1.0,0,0
-35.27223_149.13272,1.0,0,5.0,3.0,0
-35.2725_149.13268,1.0,0,1.0,0,0
-35.27265_149.1331,2.0,0,3.0,0,0
-35.27277_149.13263999999998,0,0,8.0,0,0
-35.272872_149.13278300000002,0,0,1.0,0,0
-35.27289218_149.13284808,0,0,1.0,0,0
-35.27295_149.13171,0,0,0,1.0,0
-35.272_149.13067,0,0,2.0,0,0
-35.272_149.13321000000002,4.0,0,7.0,5.0,0
-35.273017889502_149.13170099258002,0,0,1.0,0,0
-35.27302_149.1326,0,0,14.0,6.0,0
-35.273126180059_149.13294338007,0,0,5.0,0,0
-35.273127378491004_149.13300991058,0,0,4.0,1.0,0
-35.27317555722_149.13305099352,0,0,34.0,11.0,2.0
-35.273275852268_149.13196789897,1.0,0,14.0,6.0,0
-35.273310228826_149.13189892852,0,0,1.0,0,0
-35.27366_149.13295,1.0,0,20.0,3.0,1.0
-35.273759999999996_149.13156999999998,0,0,1.0,0,0
-35.273901_149.13218799999999,2.0,0,2.0,1.0,0
-35.274190000000004_149.13286000000002,1.0,0,0,0,0
-35.2742386_149.1309662,0,0,1.0,0,0
-35.274411209365_149.13721229357,0,0,0,1.0,0
-35.274637_149.131427,0,0,2.0,0,0
-35.2746799_149.13233,0,0,25.0,4.0,0
-35.27472_149.13278,0,0,2.0,0,0
-35.274859899999996_149.13021,0,0,4.0,0,0
-35.27493_149.13085,0,1.0,3.0,0,0
-35.2749499_149.13228999999998,0,0,7.0,0,0
-35.27498_149.13243,0,0,2.0,1.0,0
-35.27499_149.13138,0,0,4.0,7.0,0
-35.27499_149.13273,0,0,3.0,2.0,0
-35.275219_149.13223269999997,1.0,0,7.0,2.0,0
-35.275220000000004_149.13224,2.0,0,19.0,2.0,0
-35.2755_149.13263999999998,0,0,2.0,0,0
-35.27562807_149.1306764,0,0,0,1.0,0
-35.275787885556_149.14313348987,0,0,0,1.0,0
-35.275909464496_149.142669873,0,0,5.0,1.0,0
-35.275999999999996_149.13235,0,0,3.0,1.0,0
-35.27647_149.1398,0,0,0,1.0,0
-35.277685893302_149.13760779123,0,0,0,1.0,0
-35.277735131366_149.13757681443002,0,0,4.0,0,0
-35.278006252246_149.13774030839,0,0,3.0,2.0,1.0
-35.2781296_149.13772580000003,0,0,1.0,1.0,0
